,Activity,SKH,Type,Date,base
0,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-02,terminal 1
1,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-09,terminal 1
2,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-16,terminal 1
3,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-23,terminal 1
4,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-30,terminal 1
5,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-06,terminal 1
6,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-13,terminal 1
7,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-20,terminal 1
8,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-27,terminal 1
9,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-06,terminal 1
10,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-13,terminal 1
11,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-20,terminal 1
12,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-27,terminal 1
13,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-03,terminal 1
14,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-10,terminal 1
15,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-17,terminal 1
16,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-24,terminal 1
17,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-01,terminal 1
18,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-08,terminal 1
19,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-15,terminal 1
20,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-22,terminal 1
21,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-29,terminal 1
22,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-05,terminal 1
23,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-12,terminal 1
24,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-19,terminal 1
25,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-26,terminal 1
26,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-03,terminal 1
27,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-10,terminal 1
28,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-17,terminal 1
29,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-24,terminal 1
30,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-31,terminal 1
31,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,08-07,terminal 1
32,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,08-14,terminal 1
33,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,08-21,terminal 1
34,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,08-28,terminal 1
35,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,09-04,terminal 1
36,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,09-11,terminal 1
37,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,09-18,terminal 1
38,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,09-25,terminal 1
39,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,10-02,terminal 1
40,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,10-09,terminal 1
41,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,10-16,terminal 1
42,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,10-23,terminal 1
43,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,10-30,terminal 1
44,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,11-06,terminal 1
45,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,11-13,terminal 1
46,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,11-20,terminal 1
47,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,11-27,terminal 1
48,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,12-04,terminal 1
49,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,12-11,terminal 1
50,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,12-18,terminal 1
51,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,12-25,terminal 1
52,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,12-25,terminal 1
53,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,01-09,terminal 1
54,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,01-16,terminal 1
55,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,01-23,terminal 1
56,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,01-30,terminal 1
57,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,02-06,terminal 1
58,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,02-13,terminal 1
59,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,02-20,terminal 1
60,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,02-27,terminal 1
61,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,03-06,terminal 1
62,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,03-13,terminal 1
63,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,03-20,terminal 1
64,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,03-27,terminal 1
65,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,04-03,terminal 1
66,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,04-10,terminal 1
67,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,04-17,terminal 1
68,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,04-24,terminal 1
69,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,05-01,terminal 1
70,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,05-08,terminal 1
71,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,05-15,terminal 1
72,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,05-22,terminal 1
73,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,05-29,terminal 1
74,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,06-05,terminal 1
75,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,06-12,terminal 1
76,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,06-19,terminal 1
77,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,06-26,terminal 1
78,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,07-03,terminal 1
79,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,07-10,terminal 1
80,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,07-17,terminal 1
81,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,07-24,terminal 1
82,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,07-31,terminal 1
83,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,08-07,terminal 1
84,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,08-14,terminal 1
85,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,08-21,terminal 1
86,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,08-28,terminal 1
87,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,09-04,terminal 1
88,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,09-11,terminal 1
89,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,09-18,terminal 1
90,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,09-25,terminal 1
91,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,10-02,terminal 1
92,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,10-09,terminal 1
93,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,10-16,terminal 1
94,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,10-23,terminal 1
95,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,10-30,terminal 1
96,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,11-06,terminal 1
97,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,11-13,terminal 1
98,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,11-20,terminal 1
99,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,11-27,terminal 1
100,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,12-04,terminal 1
101,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,12-11,terminal 1
102,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,12-18,terminal 1
103,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,01-02,terminal 1
104,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,01-09,terminal 1
105,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,01-16,terminal 1
106,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,01-23,terminal 1
107,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,01-30,terminal 1
108,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,02-06,terminal 1
109,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,02-13,terminal 1
110,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,02-20,terminal 1
111,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,02-27,terminal 1
112,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,03-06,terminal 1
113,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,03-13,terminal 1
114,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,03-20,terminal 1
115,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,03-27,terminal 1
116,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,04-03,terminal 1
117,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,04-10,terminal 1
118,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,04-17,terminal 1
119,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,04-24,terminal 1
120,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,05-01,terminal 1
121,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,05-08,terminal 1
122,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,05-15,terminal 1
123,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,05-22,terminal 1
124,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,05-29,terminal 1
125,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,06-05,terminal 1
126,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,06-12,terminal 1
127,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,06-19,terminal 1
128,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,06-26,terminal 1
129,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,07-03,terminal 1
130,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,07-10,terminal 1
131,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,07-17,terminal 1
132,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,07-24,terminal 1
133,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,07-31,terminal 1
134,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,08-07,terminal 1
135,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,08-14,terminal 1
136,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,08-21,terminal 1
137,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,08-28,terminal 1
138,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,09-04,terminal 1
139,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,09-11,terminal 1
140,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,09-18,terminal 1
141,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,09-25,terminal 1
142,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,10-02,terminal 1
143,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,10-09,terminal 1
144,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,10-16,terminal 1
145,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,10-23,terminal 1
146,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,10-30,terminal 1
147,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,11-06,terminal 1
148,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,11-13,terminal 1
149,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,11-20,terminal 1
150,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,11-27,terminal 1
151,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,12-04,terminal 1
152,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,12-11,terminal 1
153,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,12-18,terminal 1
154,"Bonding Wire, Lanyard & Flame Trap Check",36,Weekly,12-25,terminal 1
155,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,01-02,terminal 1
156,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,01-09,terminal 1
157,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,01-16,terminal 1
158,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,01-23,terminal 1
159,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,01-30,terminal 1
160,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,02-06,terminal 1
161,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,02-13,terminal 1
162,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,02-20,terminal 1
163,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,02-27,terminal 1
164,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,03-06,terminal 1
165,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,03-13,terminal 1
166,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,03-20,terminal 1
167,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,03-27,terminal 1
168,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,04-03,terminal 1
169,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,04-10,terminal 1
170,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,04-17,terminal 1
171,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,04-24,terminal 1
172,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,05-01,terminal 1
173,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,05-08,terminal 1
174,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,05-15,terminal 1
175,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,05-22,terminal 1
176,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,05-29,terminal 1
177,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,06-05,terminal 1
178,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,06-12,terminal 1
179,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,06-19,terminal 1
180,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,06-26,terminal 1
181,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,07-03,terminal 1
182,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,07-10,terminal 1
183,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,07-17,terminal 1
184,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,07-24,terminal 1
185,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,07-31,terminal 1
186,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,08-07,terminal 1
187,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,08-14,terminal 1
188,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,08-21,terminal 1
189,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,08-28,terminal 1
190,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,09-04,terminal 1
191,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,09-11,terminal 1
192,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,09-18,terminal 1
193,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,09-25,terminal 1
194,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,10-02,terminal 1
195,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,10-09,terminal 1
196,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,10-16,terminal 1
197,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,10-23,terminal 1
198,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,10-30,terminal 1
199,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,11-06,terminal 1
200,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,11-13,terminal 1
201,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,11-20,terminal 1
202,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,11-27,terminal 1
203,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,12-04,terminal 1
204,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,12-11,terminal 1
205,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,12-18,terminal 1
206,"Bonding Wire, Lanyard & Flame Trap Check",37,Weekly,12-25,terminal 1
207,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,01-02,terminal 2
208,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,01-09,terminal 2
209,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,01-16,terminal 2
210,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,01-23,terminal 2
211,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,01-30,terminal 2
212,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,02-06,terminal 2
213,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,02-13,terminal 2
214,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,02-20,terminal 2
215,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,02-27,terminal 2
216,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,03-06,terminal 2
217,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,03-13,terminal 2
218,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,03-20,terminal 2
219,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,03-27,terminal 2
220,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,04-03,terminal 2
221,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,04-10,terminal 2
222,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,04-17,terminal 2
223,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,04-24,terminal 2
224,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,05-01,terminal 2
225,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,05-08,terminal 2
226,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,05-15,terminal 2
227,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,05-22,terminal 2
228,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,05-29,terminal 2
229,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,06-05,terminal 2
230,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,06-12,terminal 2
231,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,06-19,terminal 2
232,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,06-26,terminal 2
233,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,07-03,terminal 2
234,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,07-10,terminal 2
235,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,07-17,terminal 2
236,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,07-24,terminal 2
237,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,07-31,terminal 2
238,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,08-07,terminal 2
239,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,08-14,terminal 2
240,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,08-21,terminal 2
241,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,08-28,terminal 2
242,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,09-04,terminal 2
243,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,09-11,terminal 2
244,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,09-18,terminal 2
245,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,09-25,terminal 2
246,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,10-02,terminal 2
247,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,10-09,terminal 2
248,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,10-16,terminal 2
249,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,10-23,terminal 2
250,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,10-30,terminal 2
251,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,11-06,terminal 2
252,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,11-13,terminal 2
253,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,11-20,terminal 2
254,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,11-27,terminal 2
255,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,12-04,terminal 2
256,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,12-11,terminal 2
257,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,12-18,terminal 2
258,"Bonding Wire, Lanyard & Flame Trap Check",27,Weekly,12-25,terminal 2
259,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,01-02,terminal 2
260,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,01-09,terminal 2
261,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,01-16,terminal 2
262,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,01-23,terminal 2
263,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,01-30,terminal 2
264,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,02-06,terminal 2
265,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,02-13,terminal 2
266,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,02-20,terminal 2
267,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,02-27,terminal 2
268,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,03-06,terminal 2
269,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,03-13,terminal 2
270,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,03-20,terminal 2
271,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,03-27,terminal 2
272,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,04-03,terminal 2
273,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,04-10,terminal 2
274,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,04-17,terminal 2
275,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,04-24,terminal 2
276,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,05-01,terminal 2
277,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,05-08,terminal 2
278,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,05-15,terminal 2
279,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,05-22,terminal 2
280,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,05-29,terminal 2
281,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,06-05,terminal 2
282,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,06-12,terminal 2
283,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,06-19,terminal 2
284,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,06-26,terminal 2
285,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,07-03,terminal 2
286,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,07-10,terminal 2
287,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,07-17,terminal 2
288,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,07-24,terminal 2
289,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,07-31,terminal 2
290,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,08-07,terminal 2
291,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,08-14,terminal 2
292,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,08-21,terminal 2
293,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,08-28,terminal 2
294,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,09-04,terminal 2
295,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,09-11,terminal 2
296,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,09-18,terminal 2
297,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,09-25,terminal 2
298,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,10-02,terminal 2
299,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,10-09,terminal 2
300,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,10-16,terminal 2
301,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,10-23,terminal 2
302,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,10-30,terminal 2
303,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,11-06,terminal 2
304,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,11-13,terminal 2
305,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,11-20,terminal 2
306,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,11-27,terminal 2
307,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,12-04,terminal 2
308,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,12-11,terminal 2
309,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,12-18,terminal 2
310,"Bonding Wire, Lanyard & Flame Trap Check",34,Weekly,12-25,terminal 2
311,"Bonding Wire, Lanyard & Flame Trap Check",39,Weekly,01-02,terminal 2
312,"Bonding Wire, Lanyard & Flame Trap Check",39,Weekly,01-09,terminal 2
313,"Bonding Wire, Lanyard & Flame Trap Check",39,Weekly,01-16,terminal 2
314,"Bonding Wire, Lanyard & Flame Trap Check",39,Weekly,01-23,terminal 2
315,"Bonding Wire, Lanyard & Flame Trap Check",39,Weekly,01-30,terminal 2
316,"Bonding Wire, Lanyard & Flame Trap Check",39,Weekly,02-06,terminal 2
317,"Bonding Wire, Lanyard & Flame Trap Check",39,Weekly,02-13,terminal 2
318,"Bonding Wire, Lanyard & Flame Trap Check",39,Weekly,02-20,terminal 2
319,"Bonding Wire, Lanyard & Flame Trap Check",39,Weekly,02-27,terminal 2
320,"Bonding Wire, Lanyard & Flame Trap Check",39,Weekly,03-06,terminal 2
321,"Bonding Wire, Lanyard & Flame Trap Check",39,Weekly,03-13,terminal 2
322,"Bonding Wire, Lanyard & Flame Trap Check",39,Weekly,03-20,terminal 2
323,"Bonding Wire, Lanyard & Flame Trap Check",39,Weekly,03-27,terminal 2
324,"Bonding Wire, Lanyard & Flame Trap Check",39,Weekly,04-03,terminal 2
